Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,Metafield: custom.bh_concern [string],Metafield: custom.bh_gender [string],Metafield: custom.bh_segment [string],Metafield: custom.bh_score [integer],Metafield: custom.bh_follow_up [string]
10-aha-scrub-deal,10% AHA Scrub - 300g,"<p>Our 10% AHA Body Scrub combines the power of chemical and physical exfoliation to target stubborn skin concerns.<br/>💪 Lactic acid, an alpha-hydroxy acid (AHA), gently dissolves dead skin cells 💫,whil</p>",Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,10-aha-scrub-deal,0,shopify,100,continue,manual,479,694,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/10-aha-body-scrub-300/IntroPage%20%282%29_jx3ql7.jpg?tr=w-600,1,10% AHA Scrub - 300g,FALSE,10% AHA Scrub - 300g,,,,,,new,FALSE,,,,,,,g,,,TRUE,479,694,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,
underarm-roll-on-watermelon-deal,4% AHA BHA Underarm Roll On - 50 mL - Watermelon,<p>Want to feel fresh & <b>odour-free</b> all day?🤩 <br/><br/>Our 4% AHA BHA Underarm Roll On is <b>100% safe</b> with <b>0% Alcohol</b> & <b>0% Aluminium</b>. It helps to: <br/><br/>🌟 <b> Control body o</p>,Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,underarm-roll-on-watermelon-deal,0,shopify,100,continue,manual,299,347,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/4-aha-bha-underarm-roll-on-watermelon/UARO%20watermelon%20Thumbnail_m5jsn3.jpg?tr=w-600,1,4% AHA BHA Underarm Roll On - 50 mL - Watermelon,FALSE,4% AHA BHA Underarm Roll On - 50 mL - Watermelon,,,,,,new,FALSE,,,,,,,g,,,TRUE,299,347,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,
5-aha-bha-bodywash,5% AHA BHA Exfoliating Body Wash - 250 mL,<p>Looking for <b>one body wash that does it all?</b></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin,female,"female-18-25,female-25-35,female-35-plus",70,"aha bha,lactic acid,salicylic acid,glycolic acid,bacne,strawberry"
Meet the <b>Be Bodywise 5% AHA BHA Exfoliating Body Wash</b> for all your needs!`</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✨ Why You’ll Love It?</br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🔹<b>De-tans:</b> Helps r</p>,Be Bodywise,,Skin,skin",aha bha,lactic acid,salicylic acid,glycolic acid,bacne,strawberry,Be Bodywise,"skin,TRUE,Title,Default Title,5-aha-bha-bodywash,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_EBW_ggg4l2.jpg?tr=w-600,1,5% AHA BHA Exfoliating Body Wash - 250 mL,FALSE,5% AHA BHA Exfoliating Body Wash - 250 mL,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-salicylic-acid-body-wash-30ml-free-xp,1% Salicylic Acid Body Wash Mini (30 ml),<br><b>▶ Exfoliates & removes dead skin cells</b><br><b>▶Prevents body acne by unclogging pores </b><br><b>▶Improves strawberry legs appearance over time when used with Lactic Acid Lotion</b><br><,Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,1-salicylic-acid-body-wash-30ml-free-xp,0,shopify,100,continue,manual,59,98,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1-salicylic-acid-body-wash-30ml/BW---BodyWash-30-ml---PNG_xtClr8oYJ.png?tr=w-600,1,1% Salicylic Acid Body Wash Mini (30 ml),FALSE,1% Salicylic Acid Body Wash Mini (30 ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,59,98,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,
urea-skin-heel-repair-kit-75ml,Urea Skin & Heel Repair Kit - 75 ml,<p>Give your dry skin the love it deserves with the <b>Urea Skin & Heel Repair Kit</b> – A Clinically Proven solution for Deep Hydration from Head to Heel! </br> </br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin,female,"female-18-25,female-25-35,female-35-plus",70,"kit of 2,urea,roll on,lotion,kit"
✨ <b>Why Urea?</b> </br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urea is a </p>,Be Bodywise,,Skin,skin",kit of 2,urea,roll on,lotion,kit,Be Bodywise,"skin,TRUE,Title,Default Title,urea-skin-heel-repair-kit-75ml,0,shopify,100,continue,manual,948,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_UreaKit75ml_elxhr6.jpg?tr=w-600,1,Urea Skin & Heel Repair Kit - 75 ml,FALSE,Urea Skin & Heel Repair Kit - 75 ml,,,,,,new,FALSE,,,,,,,g,,,TRUE,948,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceramide-lotion-deal,0.5% Ceramide Lotion - 200 ml,<p>Pamper your skin with the love and care it deserves! 🌸 Introducing Be Bodywise's 0.5% Ceramide Lotion - a luxurious lotion that wraps your skin in deep hydration and nourishment.<br/> <br/>Made with <</p>,Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,ceramide-lotion-deal,0,shopify,100,continue,manual,329,396,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/05-ceramide-lotion/Ceramide%20Lotion_eaakcc.jpg?tr=w-600,1,0.5% Ceramide Lotion - 200 ml,FALSE,0.5% Ceramide Lotion - 200 ml,,,,,,new,FALSE,,,,,,,g,,,TRUE,329,396,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,
6-aha-bha-underarm-roll-on-xp,6% AHA BHA Underarm Roll On - Flora,<p>Introducing the <b>6% AHA BHA Underarm Roll-On ✨</b>—Our most effective formula yet for odour control & undeararm pigmentation.<br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin,female,"female-18-25,female-25-35,female-35-plus",70,
Made with science-backed actives,"this <b>advanced formulatio</p>,Be Bodywise,,Skin,skin",Be Bodywise,"skin,TRUE,Title,Default Title,6-aha-bha-underarm-roll-on-xp,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/4-aha-bha-underarm-roll-on/UARO%20Flora%20Thumbnail_j8ooi5.jpg?tr=w-600,1,6% AHA BHA Underarm Roll On - Flora,FALSE,6% AHA BHA Underarm Roll On - Flora,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair-growth-serum-roll-on-50ml-pack2,Advanced Hair Growth Roll On (Pack of 2),<b>Real hair growth starts at 8-12 weeks with consistent use of hair serum.</b><br/><br/><b>Advanced hair growth serum with 23% Hair Growth Actives and roll on applicator for mess-free application.</b,Be Bodywise,,Hair,"hair, Be Bodywise, hair",TRUE,Title,Default Title,hair-growth-serum-roll-on-50ml-pack2,0,shopify,100,continue,manual,1698,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/hair-growth-serum-pp-roll-on/Hair%20Growth%20Roll%20On_2i8io4.jpg?tr=w-600,1,Advanced Hair Growth Roll On (Pack of 2),FALSE,Advanced Hair Growth Roll On (Pack of 2),,,,,,new,FALSE,,,,,,,g,,,TRUE,1698,,active,hair,female,"female-18-25,female-25-35,female-35-plus",70,
hair-growth-serum-roll-on-50ml-pack3,Advanced Hair Growth Roll-On (Pack of 3),<p>Hair Growth Serum Roll-On is <b>India's first hair treatment with a roll-on applicator for mess-free application</b><br/><br/>With 23% Hair Growth Actives<br/>This serum is infused with <b>3% Rosemary</p>,Be Bodywise,,Hair,"hair, straight, wavy, curly, coloured, chemically treated, hair fall & thinning, Be Bodywise, hair",TRUE,Title,Default Title,hair-growth-serum-roll-on-50ml-pack3,0,shopify,100,continue,manual,2547,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/hair-growth-serum-pp-roll-on/Hair%20Growth%20Roll%20On_2i8io4.jpg?tr=w-600,1,Advanced Hair Growth Roll-On (Pack of 3),FALSE,Advanced Hair Growth Roll-On (Pack of 3),,,,,,new,FALSE,,,,,,,g,,,TRUE,2547,,active,hair,female,"female-18-25,female-25-35,female-35-plus",70,"straight,wavy,curly,coloured,chemically treated,hair fall & thinning"
hair-growth-serum-roll-on-50ml,Advanced Hair Growth Roll On 50mL,"<b> Did you know 8/10 women experience hair fall in addition to hair thinning? <br/> If you are struggling with the same, we have a better solution for you: <u><a href= https://bebodywise.com/product/",Be Bodywise,,Hair,"hair, rosemary, serum, roll on, thinning, Be Bodywise, hair",TRUE,Title,Default Title,hair-growth-serum-roll-on-50ml,0,shopify,100,continue,manual,849,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_HGRO50ml_3vl37n.jpg?tr=w-600,1,Advanced Hair Growth Roll On 50mL,FALSE,Advanced Hair Growth Roll On 50mL,,,,,,new,FALSE,,,,,,,g,,,TRUE,849,,active,hair,female,"female-18-25,female-25-35,female-35-plus",70,"rosemary,serum,roll on,thinning"
12-aha-scrub,12% AHA Scrub - 300gm,"<p>Meet the <b>12% AHA Body Scrub</b> – your expert-formulated fix for strawberry skin, rough bumps, and tanning. Now boosted with <b>2% Glycolic Acid</b>, it deeply exfoliates and reveals visibly smooth</p>",Be Bodywise,,Skin,"skin, aha, scrub, strawberry, Be Bodywise, skin",TRUE,Title,Default Title,12-aha-scrub,0,shopify,100,continue,manual,699,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_12_AHAScrub_7qciqc.jpg?tr=w-600,1,12% AHA Scrub - 300gm,FALSE,12% AHA Scrub - 300gm,,,,,,new,FALSE,,,,,,,g,,,TRUE,699,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"aha,scrub,strawberry"
magnesium-gummies-and-lotion-kit-xp,Complete Magnesium Care,<p>India's 1st <b>Complete Magnesium Care</b> Kit <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleep,female,"female-18-25,female-25-35,female-35-plus",70,
For <b>faster recovery,improved sleep quality & muscle relaxation</b> <br/><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our carefully curated Magnesium kit restores balance and relaxat</p>,Be Bodywise,,Sleep,sleep",Be Bodywise,"sleep,TRUE,Title,Default Title,magnesium-gummies-and-lotion-kit-xp,0,shopify,100,continue,manual,899,946,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/magnesium-gummies-and-lotion-kit-xp/thumb%20%281%29_id6r9l.jpg?tr=w-600,1,Complete Magnesium Care,FALSE,Complete Magnesium Care,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,946,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair-growth-serum-roll-on-influencer,Advanced Hair Growth Serum Roll On (25ml),"<p>8 out of 10 women experience hair fall along with visible hair thinning.If you’re noticing hair fall, widening partition, reduced density, or thinner hair over time - you need a solution that works at</p>",Be Bodywise,,Hair,"hair, Be Bodywise, hair",TRUE,Title,Default Title,hair-growth-serum-roll-on-influencer,0,shopify,100,continue,manual,569,598,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/hair-growth-serum-roll-on/Hair%20Growth%20Roll%20On_af6ryi.jpg?tr=w-600,1,Advanced Hair Growth Serum Roll On (25ml),FALSE,Advanced Hair Growth Serum Roll On (25ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,569,598,active,hair,female,"female-18-25,female-25-35,female-35-plus",70,
